Date,Tracker_ID,Lat,Lon,Status
03-28-2025,AMC,45.41032,-73.92968,Full
03-28-2025,AMC,45.41092,-73.93009,Full
03-28-2025,AMC,45.43007,-73.93835,Full
03-28-2025,AMC,45.42888,-73.94149,Full
04-01-2025,LF,45.40776,-73.92176,Empty
04-01-2025,LF,45.41027,-73.91853,Unclear
04-01-2025,LF,45.41232,-73.92389,Full
04-01-2025,LF,45.41235,-73.92886,Unclear
04-01-2025,LF,45.41191,-73.92898,Empty
04-01-2025,LF,45.41070,-73.92923,Empty
04-01-2025,LF,45.40865,-73.93307,Full
04-01-2025,LF,45.41030,-73.92929,Unclear
04-04-2025,AMC,45.41290,-73.93031,Empty
04-04-2025,AMC,45.40670,-73.93266,Full
04-04-2025,AMC,45.40630,-73.93276,Full
04-04-2025,AMC,45.40558,-73.93126,Full
04-04-2025,AMC,45.40509,-73.92951,Full
04-04-2025,AMC,45.40556,-73.92703,Empty
04-04-2025,AMC,45.40644,-73.92616,Full
04-04-2025,AMC,45.40671,-73.92764,Full
04-04-2025,AMC,45.40808,-73.92699,Full
04-04-2025,AMC,45.40707,-73.92838,Full
04-04-2025,AMC,45.40625,-73.92827,Full
04-04-2025,AMC,45.40746,-73.92814,Full
04-04-2025,AMC,45.40794,-73.92897,Full
04-04-2025,AMC,45.40748,-73.92967,Full
04-04-2025,AMC,45.40709,-73.92976,Full
04-04-2025,AMC,45.40713,-73.92979,Full
04-04-2025,AMC,45.40633,-73.93047,Unclear
04-04-2025,AMC,45.40799,-73.93105,Full
03-29-2025,FPL,45.46862,-73.64362,Empty
03-29-2025,FPL,45.46583,-73.63480,Full
03-29-2025,FPL,45.46635,-73.64281,Empty
03-29-2025,FPL,45.46265,-73.63551,Unclear
03-29-2025,FPL,45.46323,-73.63705,Empty
03-29-2025,FPL,45.46526,-73.64258,Empty
04-02-2025,FPL,45.46213,-73.63647,Full
04-02-2025,FPL,45.46384,-73.64302,Full
04-02-2025,FPL,45.46516,-73.64653,Empty
04-02-2025,FPL,45.46358,-73.64507,Unclear
04-02-2025,FPL,45.46232,-73.64187,Full
04-02-2025,FPL,45.46225,-73.64136,Unclear
04-02-2025,FPL,45.46219,-73.64119,Full
04-02-2025,FPL,45.46158,-73.64001,Full
04-06-2025,FPL,45.46109,-73.64042,Empty
04-06-2025,FPL,45.46239,-73.64819,Empty
04-06-2025,FPL,45.46263,-73.64895,Unclear
04-06-2025,FPL,45.46444,-73.65141,Empty
04-06-2025,FPL,45.46283,-73.65459,Empty
04-06-2025,FPL,45.46173,-73.65139,Empty
04-06-2025,FPL,45.46169,-73.65134,Unclear
04-06-2025,FPL,45.46016,-73.64769,Full
04-06-2025,FPL,45.46042,-73.64130,Full
04-05-2025,LF,45.43002,-73.93837,Empty
04-05-2025,LF,45.43456,-73.94650,Empty
04-05-2025,LF,45.43433,-73.94630,Empty
04-05-2025,LF,45.43544,-73.94718,Full
04-05-2025,LF,45.43538,-73.94734,Full
04-05-2025,LF,45.43098,-73.94343,Full
04-05-2025,LF,45.43076,-73.94314,Full
04-05-2025,LF,45.42901,-73.94131,Full
04-05-2025,LF,45.42170,-73.93240,Unclear
04-05-2025,LF,45.42249,-73.93360,Full
04-05-2025,LF,45.44010,-73.92731,Full
04-05-2025,LF,45.44033,-73.92733,Full
04-05-2025,LF,45.44071,-73.92763,Unclear
04-08-2025,LF,45.43864,-73.92596,Empty
04-08-2025,LF,45.43584,-73.92409,Unclear
04-08-2025,LF,45.43719,-73.92480,Unclear
04-08-2025,LF,45.43688,-73.92595,Full
04-08-2025,LF,45.43655,-73.92730,Empty
04-08-2025,LF,45.43583,-73.92719,Full
04-08-2025,LF,45.43451,-73.92640,Empty
04-08-2025,LF,45.43154,-73.92725,Unclear
04-08-2025,LF,45.43329,-73.92714,Unclear
04-08-2025,LF,45.43477,-73.92992,Unclear
04-08-2025,LF,45.43356,-73.92908,Empty
04-08-2025,LF,45.42843,-73.92600,Full
04-08-2025,LF,45.43243,-73.92847,Empty
04-08-2025,LF,45.43391,-73.92818,Full
04-08-2025,LF,45.43436,-73.92850,Empty
04-08-2025,LF,45.43469,-73.92868,Unclear
04-08-2025,LF,45.43530,-73.92908,Empty
04-08-2025,LF,45.43613,-73.92960,Full
04-08-2025,LF,45.43655,-73.92975,Empty
04-13-2025,LF,45.43735,-73.93033,Empty
04-13-2025,LF,45.41837,-73.91492,Empty
04-13-2025,LF,45.41306,-73.91420,Empty
04-13-2025,LF,45.41190,-73.91410,Empty
04-13-2025,LF,45.41056,-73.91395,Full
04-13-2025,LF,45.41134,-73.91200,Unclear
04-13-2025,LF,45.41143,-73.91207,Empty
04-13-2025,LF,45.41141,-73.91182,Empty
04-13-2025,LF,45.41321,-73.91239,Empty
04-13-2025,LF,45.41556,-73.91241,Full
04-13-2025,LF,45.41664,-73.91282,Full
04-13-2025,LF,45.41684,-73.91283,Unclear
04-13-2025,LF,45.42035,-73.90991,Unclear
04-13-2025,LF,45.42044,-73.90830,Unclear
04-13-2025,LF,45.41957,-73.90873,Empty
04-13-2025,LF,45.41489,-73.91644,Unclear
04-13-2025,LF,45.41511,-73.91641,Empty
04-13-2025,LF,45.41667,-73.91650,Unclear
04-15-2025,LF,45.40542,-73.92533,Full
04-15-2025,LF,45.40968,-73.92320,Unclear
04-15-2025,LF,45.40929,-73.92403,Full
04-15-2025,LF,45.40885,-73.92775,Full
04-15-2025,LF,45.40891,-73.92786,Empty
04-15-2025,LF,45.40981,-73.92802,Full
04-15-2025,LF,45.41045,-73.92786,Unclear
04-15-2025,LF,45.40995,-73.92492,Full
04-15-2025,LF,45.41425,-73.92493,Unclear
04-15-2025,LF,45.41451,-73.92625,Unclear
